compound	D1_Cell_1	D1_Cell_2	D1_Cell_3	D2_Cell_1	D2_Cell_2	D2_Cell_3	D3_Cell_1	D3_Cell_2	D3_Cell_3	DT_Cell_1	DT_Cell_2	DT_Cell_3	D_WT_Cell_1	D_WT_Cell_2	D_WT_Cell_3	D1_Media_1	D1_Media_2	D1_Media_3	D2_Media_1	D2_Media_2	D2_Media_3	D3_Media_1	D3_Media_2	D3_Media_3	DT_Media_1	DT_Media_2	DT_Media_3	D_WT_Media_1	D_WT_Media_2	D_WT_Media_3
hydroxyproline	94.07189512	97.21029766	68.90692723	111.3802557	71.01613581	93.49856041	83.16442763	77.38812977	94.05850625	92.73209987	98.71078051	110.7739654	54.97114693	109.2726551	88.78990295	44.44641709	46.49211863	62.82966043	34.5379672	22.76095016	24.65709388	18.83558117	26.54851259	16.68835214	18.02215041	10.45927402	10.59014219	25.7906164	26.66743614	32.450406
hypoxanthine	10.4382914	15.0575385	5.324127489	3.639141919	4.346605296	7.559263041	3.662020052	2.498869628	12.80079322	6.769479917	14.59010854	30.297409	4.814989386	3.391728328	5.980330648	52.81178586	6.306645228	45.48990544	4.872768259	12.78657665	6.420406877	22.07148104	2.219510143	-2.889013292	5.569739693	9.428130022	1.493801733	5.632718085	6.663393256	8.021655373
IMP	10.81861109	16.25413137	15.94678373	6.642069348	6.619931091	6.101252846	17.55871745	19.75039926	20.40885227	36.59847506	46.66439392	36.93261947	10.83002581	13.34892987	8.727762177	0	0	0	0	0	0	0	0	0	0	0	0	0	3.00334142	0
isoleucine	119.1454208	100.4994572	68.67799361	46.17146898	44.71538976	53.21909374	48.72804848	47.61554488	72.96381981	83.20606792	89.60911509	102.056729	44.95214737	30.39159707	73.1019068	456.0309937	417.4339325	388.0572584	213.5406576	204.0826826	279.0183424	188.5766291	169.2675728	175.0524737	199.4247744	167.0143377	117.9680666	205.8773571	228.3213816	289.1310372
kynurenine	2.04939884	0.048485567	-3.582322324	0.894394593	-2.024544209	-1.107143307	-1.148207973	-1.804355391	1.09528026	3.16686645	4.580953695	3.971879963	-0.321872265	2.18086949	-0.077992149	19.52451994	13.6773103	15.08897606	7.962747485	6.786532574	6.664387546	3.994291629	6.45421343	8.34393663	7.614873477	8.592627679	7.229226185	6.461400307	10.90506884	6.279536891
L-2-Hydroxyglutaric acid	29.1384802	47.86830994	30.43989583	28.94158554	28.89962958	32.23076659	28.11293147	19.18821547	29.83264909	19.95874148	18.73635509	23.66819059	28.94172508	23.10608847	29.22137774	128.649363	127.6358283	119.9399362	69.21111139	53.60135004	78.85014272	60.23402991	53.36000745	54.20908185	55.96524069	58.37758315	49.54366365	52.12772989	79.97113209	91.39599048
lactate	19156.44477	16124.41418	13245.54433	20061.20773	14246.25838	17657.03178	20108.59113	17780.74055	26019.33876	15197.46996	19871.06424	21596.21069	20407.40747	16367.4658	20954.56062	30874.15163	62907.30582	31265.50184	36332.04818	31862.42229	34748.12888	14717.46949	26541.70626	30272.89294	26514.20633	26050.23822	17315.1703	28036.10536	28666.19787	36927.48608
leucine	1770.673662	1405.653056	1100.697327	983.1349853	710.409567	918.2723784	904.0707604	871.0588222	1214.915067	1436.544645	1646.180446	1931.911127	1067.697405	831.1537864	1283.321944	7532.018258	6268.458872	8136.754622	3796.593104	3300.571065	3748.140942	3176.686344	2483.916697	2863.274649	2834.007128	3039.506297	2175.822334	3759.349888	3694.617361	4914.878181
Linoleic acid	172.3871815	463.7279002	520.2663996	388.4209459	415.6574514	550.2402987	81.46852395	609.0425874	578.3206676	558.0310785	311.4995026	660.9836748	461.3778417	507.8075241	307.9506384	54.75760237	24.78862182	41.86870759	19.10284831	26.06085486	34.35283708	28.71510688	7.245183196	13.03820012	14.0372999	1.57279787	2.821931924	27.40286349	11.81871744	7.621308451
lysine	137.6436047	105.6840631	93.7624342	69.52929302	55.78358044	73.83271149	74.47789586	60.19537302	91.50763318	76.26219302	97.27550527	131.5709087	84.90902214	64.18765646	120.8638771	909.9745843	765.7946136	944.2569149	464.0203351	402.6593482	459.684813	404.4823044	334.4679591	373.7464604	372.4685145	411.0115702	285.1592846	458.8924777	450.4128277	595.6361189
